epoch,train_loss,valid_loss,foreground_acc,diceLV,diceMY,diceRV,diceEd,diceSc,time
0,0.09230928122997284,0.05741630867123604,1.8072324792228756e-06,9.341778422822244e-06,0.0,0.0,0.10526315867900848,0.2631579041481018,00:16
1,0.06441958248615265,0.03792392835021019,0.08066512644290924,0.2859765887260437,0.0,0.05378732457756996,0.10526315867900848,0.2631579041481018,00:16
2,0.049145493656396866,0.03017187863588333,0.29352590441703796,0.5114477872848511,0.1577867865562439,0.3593795597553253,0.10526315867900848,0.26487448811531067,00:15
3,0.039992157369852066,0.025347864255309105,0.40023159980773926,0.6061326265335083,0.46687933802604675,0.3973342180252075,0.06444662809371948,0.09731436520814896,00:15
4,0.03324339538812637,0.017630940303206444,0.634216845035553,0.7534003853797913,0.5538699626922607,0.7342906594276428,0.08562315255403519,0.16185162961483002,00:15
5,0.027369605377316475,0.015083912760019302,0.6645004153251648,0.7445797920227051,0.5850827693939209,0.7711766362190247,0.14254584908485413,0.21948383748531342,00:15
6,0.023898566141724586,0.014231014996767044,0.7419386506080627,0.7954704761505127,0.6291921138763428,0.81308913230896,0.11023576557636261,0.22325153648853302,00:15
7,0.02058480679988861,0.012515622191131115,0.7272772789001465,0.8111670017242432,0.6540555357933044,0.7905353903770447,0.11546924710273743,0.1685226559638977,00:15
8,0.021261291578412056,0.022840896621346474,0.42791467905044556,0.3494891822338104,0.4082685112953186,0.6005711555480957,0.10526315867900848,0.2525767982006073,00:15
9,0.02962779812514782,0.03233620151877403,0.16830234229564667,0.5459280610084534,0.0,0.00010232678323518485,0.10526315867900848,0.2631579041481018,00:15
epoch,train_loss,valid_loss,foreground_acc,diceLV,diceMY,diceRV,diceEd,diceSc,time
0,0.026255646720528603,0.021988946944475174,0.6237279772758484,0.6475325226783752,0.5711742639541626,0.6628797054290771,0.10526315867900848,0.2631579041481018,00:16
1,0.022545408457517624,0.01626640185713768,0.6673169136047363,0.7519481182098389,0.5896922945976257,0.7311614155769348,0.07060656696557999,0.05405155569314957,00:16
2,0.01928335428237915,0.013391886837780476,0.7177201509475708,0.787269651889801,0.6477948427200317,0.7932378649711609,0.060403622686862946,0.17207245528697968,00:16
3,0.01699819602072239,0.01261734589934349,0.7253242135047913,0.7974658012390137,0.6441581845283508,0.7971435785293579,0.09679781645536423,0.1598346084356308,00:16
4,0.015797752887010574,0.013368380255997181,0.7875468730926514,0.8156991004943848,0.6565721035003662,0.7987411022186279,0.12648330628871918,0.20758289098739624,00:16
5,0.014668332412838936,0.012503116391599178,0.7561739087104797,0.817256510257721,0.66187983751297,0.8235021233558655,0.09131168574094772,0.23172542452812195,00:16
6,0.013347212225198746,0.012139914557337761,0.748360276222229,0.8137747645378113,0.6502588391304016,0.8245793581008911,0.12195200473070145,0.24550862610340118,00:16
7,0.012457865290343761,0.012379148975014687,0.7063114047050476,0.8080810904502869,0.6542173624038696,0.7913930416107178,0.14338931441307068,0.2848203778266907,00:16
8,0.011730891652405262,0.01097593829035759,0.7611330151557922,0.8209667801856995,0.6654915809631348,0.8436375856399536,0.17687402665615082,0.21247157454490662,00:16
9,0.011303768493235111,0.01359749399125576,0.780723512172699,0.8034117817878723,0.6476762294769287,0.8251297473907471,0.10665304958820343,0.24300594627857208,00:16
10,0.010996154509484768,0.011350540444254875,0.7558537721633911,0.8308188319206238,0.6809862852096558,0.8292568325996399,0.13541096448898315,0.3134132921695709,00:16
11,0.010493512265384197,0.011172805912792683,0.745384931564331,0.8204879760742188,0.6500037312507629,0.8495176434516907,0.11986556649208069,0.30161452293395996,00:16
12,0.009946007281541824,0.011820575222373009,0.756208062171936,0.8223403096199036,0.677096962928772,0.8249998688697815,0.12877848744392395,0.26081582903862,00:16
13,0.009578805416822433,0.011038157157599926,0.7849895358085632,0.8353663086891174,0.684860110282898,0.8402095437049866,0.12572161853313446,0.3094325363636017,00:16
14,0.009243439882993698,0.011248870752751827,0.7390628457069397,0.8341670632362366,0.657630980014801,0.8374671339988708,0.1573576033115387,0.3124997019767761,00:16
15,0.008987224660813808,0.011168786324560642,0.7645496129989624,0.8395777940750122,0.6830257773399353,0.8357752561569214,0.11808090656995773,0.3059888184070587,00:16
16,0.00867855828255415,0.011274981312453747,0.7798211574554443,0.8425586819648743,0.6812882423400879,0.8447626233100891,0.11401672661304474,0.36487358808517456,00:16
17,0.008398902602493763,0.011125735938549042,0.7745259404182434,0.8407676815986633,0.6822541356086731,0.8430581092834473,0.13766607642173767,0.33521896600723267,00:16
18,0.008297685533761978,0.01142308209091425,0.7852451801300049,0.8413534760475159,0.680618405342102,0.8370386362075806,0.12533897161483765,0.3306095600128174,00:16
19,0.008094041608273983,0.011169780045747757,0.7799820899963379,0.8424492478370667,0.6821720004081726,0.8419281244277954,0.12121998518705368,0.33104953169822693,00:16
