epoch,train_loss,valid_loss,foreground_acc,diceLV,diceMY,diceRV,diceEd,diceSc,time
0,0.11038244515657425,0.056357815861701965,0.0,0.0,0.0,0.0,0.10526315867900848,0.05263157933950424,00:09
1,0.07324980944395065,0.042447932064533234,0.003622684394940734,0.006228507496416569,0.0,0.009575236588716507,0.10526315867900848,0.14056463539600372,00:09
2,0.057892460376024246,0.03198640048503876,0.15266749262809753,0.38021406531333923,0.0,0.19971853494644165,0.10526315867900848,0.228733628988266,00:09
3,0.04610711708664894,0.026788955554366112,0.40875425934791565,0.6205073595046997,0.20218299329280853,0.41425034403800964,0.10526315867900848,0.13530057668685913,00:09
4,0.036745503544807434,0.01673314720392227,0.538246750831604,0.7317003011703491,0.4498240053653717,0.5895206332206726,0.05817897617816925,0.1754162460565567,00:09
5,0.029646119102835655,0.016894035041332245,0.6929237842559814,0.7362055778503418,0.5139895677566528,0.7176586389541626,0.0885654091835022,0.19515806436538696,00:09
6,0.024886511266231537,0.013719976879656315,0.7360448837280273,0.790403425693512,0.5949714779853821,0.7741603255271912,0.1058037206530571,0.24544097483158112,00:09
7,0.021190380677580833,0.015564638189971447,0.6005434393882751,0.6587533354759216,0.523717999458313,0.7214097380638123,0.07092822343111038,0.20359061658382416,00:09
8,0.018939467146992683,0.014562380500137806,0.5317748785018921,0.7346872091293335,0.5424157977104187,0.5680369138717651,0.07152143865823746,0.30904462933540344,00:09
9,0.01681414432823658,0.014277135953307152,0.6722282767295837,0.8066591024398804,0.38132935762405396,0.7955012917518616,0.10526315867900848,0.18653357028961182,00:09
10,0.015488623641431332,0.020582519471645355,0.6092457175254822,0.7481400370597839,0.4186554253101349,0.6605924367904663,0.147554412484169,0.22882410883903503,00:09
11,0.01511356234550476,0.011175819672644138,0.6855872273445129,0.7249961495399475,0.5958845615386963,0.822955310344696,0.10535050928592682,0.26615363359451294,00:09
12,0.01437540352344513,0.015341104008257389,0.6990066766738892,0.7810254693031311,0.5647623538970947,0.7540539503097534,0.12104596942663193,0.34260913729667664,00:09
13,0.013501252047717571,0.012453475967049599,0.6634806394577026,0.6747655868530273,0.5610626339912415,0.7930791974067688,0.11277425289154053,0.2507348954677582,00:09
14,0.012887347489595413,0.011109945364296436,0.6397603750228882,0.7213870286941528,0.571182131767273,0.7916150689125061,0.10580447316169739,0.3172873854637146,00:09
15,0.012816260568797588,0.01166793517768383,0.5866414904594421,0.731118381023407,0.46106043457984924,0.7876537442207336,0.10526315867900848,0.21908684074878693,00:09
16,0.011823510751128197,0.012842539697885513,0.8038308620452881,0.8448238968849182,0.64970463514328,0.717835009098053,0.0897500142455101,0.327297568321228,00:09
